,OptimalSolution,ReducedCosts,MinValue,MaxValue,Span,MinStatus,MaxStstus
R_BIOMASS_Ec_iAF1260_core_59p81M_dlys_time44,0.0,0.0,0.0,0.041807157366,0.0418071574,1.0,1.0
R_VALtex_dleu_time00,0.0,0.0,-0.0053999999994993044,0.000212658289551868,0.0056126583,1.0,1.0
R_VALtex_dleu_time01,3.760735450801424e-05,0.0,-0.010799999998998609,0.00042520236059174853,0.0112252024,1.0,1.0
R_VALtex_dleu_time02,0.00020741399676937067,0.0,-0.016199999998497916,0.0006377214056559829,0.0168377214,1.0,1.0
R_VALtex_dleu_time03,0.0,0.0,-0.021600000236531622,0.0008502404507202189,0.0224502407,1.0,1.0
R_VALtex_dleu_time04,6.972475207251649e-05,0.0,-0.026999999997496523,0.0010627594957844455,0.0280627595,1.0,1.0
R_VALtex_dleu_time05,0.0,0.0,-0.032399999996995825,0.0012752785408486854,0.0336752785,1.0,1.0
R_VALtex_dleu_time06,9.333841179704165e-05,0.0,-0.03779999999649514,0.0014877975859129218,0.0392877976,1.0,1.0
R_VALtex_dleu_time07,0.00043343158067650733,0.0,-0.0431999999959944,0.001700316630977148,0.0449003166,1.0,1.0
R_VALtex_dleu_time08,0.0,0.0,-0.048645165861705746,0.0019128356760413942,0.0505580015,1.0,1.0
R_VALtex_dleu_time09,0.0003014075894328455,0.0,-0.05411188683981178,0.0021253547211056243,0.0562372416,1.0,1.0
R_VALtex_dleu_time10,0.00037140847196328783,0.0,-0.05959249813085319,0.0023378737661698614,0.0619303719,1.0,1.0
R_VALtex_dleu_time11,-0.00069990068878974,0.0,-0.06516473365204511,0.002556170730907458,0.0677209044,1.0,1.0
R_VALtex_dleu_time12,0.000193156179139159,0.0,-0.07122045327436494,0.002793712979169664,0.0740141663,1.0,1.0
R_VALtex_dleu_time13,0.0,0.0,-0.07783890708787722,0.003053330491856385,0.0808922376,1.0,1.0
R_VALtex_dleu_time14,0.00046713756752702305,0.0,-0.08507349898097247,0.0033371465320837746,0.0884106455,1.0,1.0
R_VALtex_dleu_time15,0.00028920864841361474,0.0,-0.09297811361143749,0.0036472703356963086,0.0966253839,1.0,1.0
R_VALtex_dleu_time16,0.00020049807823267255,0.0,-0.10161890184511287,0.003987422328896652,0.1056063242,1.0,1.0
R_VALtex_dleu_time17,0.0,0.0,-0.11106750898558095,0.0043565455264566065,0.1154240545,1.0,1.0
R_VALtex_dleu_time18,0.0005283291753678012,0.0,-0.12138270554081301,0.004762161065081162,0.1261448666,1.0,1.0
R_VALtex_dleu_time19,0.0002535139569514568,0.0,-0.13266276841437308,0.005204453300477749,0.1378672217,1.0,1.0
R_VALtex_dleu_time20,0.00013568957329619435,0.0,-0.1449910213017552,0.0056874556094006256,0.1506784769,1.0,1.0
R_VALtex_dleu_time21,0.0,0.0,-0.15846482169165294,0.006215986310241431,0.164680808,1.0,1.0
R_VALtex_dleu_time22,0.0005785795451424647,0.0,-0.17319087143781775,0.006793632946381998,0.1799845044,1.0,1.0
R_VALtex_dleu_time23,0.0003463407898029867,0.0,-0.18928545182691756,0.007425835002810452,0.1967112868,1.0,1.0
R_VALtex_dleu_time24,0.0,0.0,-0.20687553146831217,0.008114955400070557,0.2149904869,1.0,1.0
